data_rate,rep,service_type,slo_set,p_fitness,dist,cores,data_quality,model_size
0.85,8,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,9,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,9,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,9,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,10,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,10,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,10,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,11,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,11,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,11,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,12,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,12,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,12,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,13,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,13,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,13,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,14,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,14,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,14,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,15,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,15,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,15,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,16,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,16,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,16,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,17,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,17,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,17,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,18,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,18,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,18,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
